subdomain,http_status,server_header,open_ports,cors_issues,fingerprints,takeover_risks,cloud_saas,cloud_assets
2020.chaldal.com,525,cloudflare,"80,443,8080,8443",,"{""server"":""cloudflare""}",,Predicted exists: 2020.chaldal.com.s3.amazonaws.com; Predicted exists: 2020.chaldal.com.storage.googleapis.com,aws_s3 [unknown] https://2020.chaldal.com.s3.amazonaws.com; aws_cloudfront [unknown] https://2020-chaldal-com.cloudfront.net; azure_blob [unknown] https://2020.chaldal.com.blob.core.windows.net; gcp_storage [unknown] https://2020.chaldal.com.storage.googleapis.com; digitalocean_spaces [unknown] https://2020.chaldal.com.digitaloceanspaces.com; cloudflare_r2 [unknown] https://2020.chaldal.com.r2.cloudflarestorage.com; wasabi [unknown] https://2020.chaldal.com.wasabisys.com
addrapi.chaldal.com,404,nginx,"80,443",Wildcard CORS allowed; Allow-Credentials: true,"{""server"":""nginx""}",,Predicted exists: addrapi.chaldal.com.s3.amazonaws.com; Predicted exists: addrapi.chaldal.com.storage.googleapis.com,aws_s3 [unknown] https://addrapi.chaldal.com.s3.amazonaws.com; aws_cloudfront [unknown] https://addrapi-chaldal-com.cloudfront.net; azure_blob [unknown] https://addrapi.chaldal.com.blob.core.windows.net; gcp_storage [unknown] https://addrapi.chaldal.com.storage.googleapis.com; digitalocean_spaces [unknown] https://addrapi.chaldal.com.digitaloceanspaces.com; cloudflare_r2 [unknown] https://addrapi.chaldal.com.r2.cloudflarestorage.com; wasabi [unknown] https://addrapi.chaldal.com.wasabisys.com
admin.chaldal.com,200,nginx,"80,443",,"{""x-powered-by"":""Express"",""server"":""nginx"",""framework"":""react""}",,Predicted exists: admin.chaldal.com.s3.amazonaws.com; Predicted exists: admin.chaldal.com.storage.googleapis.com,aws_s3 [unknown] https://admin.chaldal.com.s3.amazonaws.com; aws_cloudfront [unknown] https://admin-chaldal-com.cloudfront.net; azure_blob [unknown] https://admin.chaldal.com.blob.core.windows.net; gcp_storage [unknown] https://admin.chaldal.com.storage.googleapis.com; digitalocean_spaces [unknown] https://admin.chaldal.com.digitaloceanspaces.com; cloudflare_r2 [unknown] https://admin.chaldal.com.r2.cloudflarestorage.com; wasabi [unknown] https://admin.chaldal.com.wasabisys.com
app-updates.chaldal.com,200,nginx,"80,443",,"{""server"":""nginx"",""x-powered-by"":""Next.js""}",,Predicted exists: app-updates.chaldal.com.s3.amazonaws.com; Predicted exists: app-updates.chaldal.com.storage.googleapis.com,aws_s3 [unknown] https://app-updates.chaldal.com.s3.amazonaws.com; aws_cloudfront [unknown] https://app-updates-chaldal-com.cloudfront.net; azure_blob [unknown] https://app-updates.chaldal.com.blob.core.windows.net; gcp_storage [unknown] https://app-updates.chaldal.com.storage.googleapis.com; digitalocean_spaces [unknown] https://app-updates.chaldal.com.digitaloceanspaces.com; cloudflare_r2 [unknown] https://app-updates.chaldal.com.r2.cloudflarestorage.com; wasabi [unknown] https://app-updates.chaldal.com.wasabisys.com
callcenter.chaldal.com,200,nginx,"443,80",,"{""x-powered-by"":""Express"",""server"":""nginx"",""framework"":""react""}",,Predicted exists: callcenter.chaldal.com.s3.amazonaws.com; Predicted exists: callcenter.chaldal.com.storage.googleapis.com,aws_s3 [unknown] https://callcenter.chaldal.com.s3.amazonaws.com; aws_cloudfront [unknown] https://callcenter-chaldal-com.cloudfront.net; azure_blob [unknown] https://callcenter.chaldal.com.blob.core.windows.net; gcp_storage [unknown] https://callcenter.chaldal.com.storage.googleapis.com; digitalocean_spaces [unknown] https://callcenter.chaldal.com.digitaloceanspaces.com; cloudflare_r2 [unknown] https://callcenter.chaldal.com.r2.cloudflarestorage.com; wasabi [unknown] https://callcenter.chaldal.com.wasabisys.com
catalog.chaldal.com,404,nginx,"80,443",,"{""server"":""nginx""}",,Predicted exists: catalog.chaldal.com.s3.amazonaws.com; Predicted exists: catalog.chaldal.com.storage.googleapis.com,aws_s3 [unknown] https://catalog.chaldal.com.s3.amazonaws.com; aws_cloudfront [unknown] https://catalog-chaldal-com.cloudfront.net; azure_blob [unknown] https://catalog.chaldal.com.blob.core.windows.net; gcp_storage [unknown] https://catalog.chaldal.com.storage.googleapis.com; digitalocean_spaces [unknown] https://catalog.chaldal.com.digitaloceanspaces.com; cloudflare_r2 [unknown] https://catalog.chaldal.com.r2.cloudflarestorage.com; wasabi [unknown] https://catalog.chaldal.com.wasabisys.com
cdvn-v2-ui.chaldal.com,200,nginx,"80,443",,"{""x-powered-by"":""Express"",""server"":""nginx""}",,Predicted exists: cdvn-v2-ui.chaldal.com.s3.amazonaws.com; Predicted exists: cdvn-v2-ui.chaldal.com.storage.googleapis.com,aws_s3 [unknown] https://cdvn-v2-ui.chaldal.com.s3.amazonaws.com; aws_cloudfront [unknown] https://cdvn-v2-ui-chaldal-com.cloudfront.net; azure_blob [unknown] https://cdvn-v2-ui.chaldal.com.blob.core.windows.net; gcp_storage [unknown] https://cdvn-v2-ui.chaldal.com.storage.googleapis.com; digitalocean_spaces [unknown] https://cdvn-v2-ui.chaldal.com.digitaloceanspaces.com; cloudflare_r2 [unknown] https://cdvn-v2-ui.chaldal.com.r2.cloudflarestorage.com; wasabi [unknown] https://cdvn-v2-ui.chaldal.com.wasabisys.com
cdvn-v2.chaldal.com,404,nginx,"80,443",,"{""server"":""nginx""}",,Predicted exists: cdvn-v2.chaldal.com.s3.amazonaws.com; Predicted exists: cdvn-v2.chaldal.com.storage.googleapis.com,aws_s3 [unknown] https://cdvn-v2.chaldal.com.s3.amazonaws.com; aws_cloudfront [unknown] https://cdvn-v2-chaldal-com.cloudfront.net; azure_blob [unknown] https://cdvn-v2.chaldal.com.blob.core.windows.net; gcp_storage [unknown] https://cdvn-v2.chaldal.com.storage.googleapis.com; digitalocean_spaces [unknown] https://cdvn-v2.chaldal.com.digitaloceanspaces.com; cloudflare_r2 [unknown] https://cdvn-v2.chaldal.com.r2.cloudflarestorage.com; wasabi [unknown] https://cdvn-v2.chaldal.com.wasabisys.com
chaldal.com,200,nginx,"80,443",,"{""framework"":""react"",""server"":""nginx"",""x-powered-by"":""Express""}",,Predicted exists: chaldal.com.s3.amazonaws.com; Predicted exists: chaldal.com.storage.googleapis.com,aws_s3 [unknown] https://chaldal.com.s3.amazonaws.com; aws_cloudfront [unknown] https://chaldal-com.cloudfront.net; azure_blob [unknown] https://chaldal.com.blob.core.windows.net; gcp_storage [unknown] https://chaldal.com.storage.googleapis.com; digitalocean_spaces [unknown] https://chaldal.com.digitaloceanspaces.com; cloudflare_r2 [unknown] https://chaldal.com.r2.cloudflarestorage.com; wasabi [unknown] https://chaldal.com.wasabisys.com
eggfarm.chaldal.com,200,nginx,"80,443",,"{""x-powered-by"":""Express"",""server"":""nginx"",""framework"":""react""}",,Predicted exists: eggfarm.chaldal.com.s3.amazonaws.com; Predicted exists: eggfarm.chaldal.com.storage.googleapis.com,aws_s3 [unknown] https://eggfarm.chaldal.com.s3.amazonaws.com; aws_cloudfront [unknown] https://eggfarm-chaldal-com.cloudfront.net; azure_blob [unknown] https://eggfarm.chaldal.com.blob.core.windows.net; gcp_storage [unknown] https://eggfarm.chaldal.com.storage.googleapis.com; digitalocean_spaces [unknown] https://eggfarm.chaldal.com.digitaloceanspaces.com; cloudflare_r2 [unknown] https://eggfarm.chaldal.com.r2.cloudflarestorage.com; wasabi [unknown] https://eggfarm.chaldal.com.wasabisys.com
